Station,State,ETR (W/m^2)_sd,ETRN (W/m^2)_sd,GHI (W/m^2)_sd,GHI source_sd,GHI uncert (%)_sd,DNI (W/m^2)_sd,DNI source_sd,DNI uncert (%)_sd,DHI (W/m^2)_sd,DHI source_sd,DHI uncert (%)_sd,GH illum (lx)_sd,GH illum source_sd,Global illum uncert (%)_sd,DN illum (lx)_sd,DN illum source_sd,DN illum uncert (%)_sd,DH illum (lx)_sd,DH illum source_sd,DH illum uncert (%)_sd,Zenith lum (cd/m^2)_sd,Zenith lum source_sd,Zenith lum uncert (%)_sd,TotCld (tenths)_sd,TotCld uncert (code)_sd,OpqCld (tenths)_sd,OpqCld uncert (code)_sd,Dry-bulb (C)_sd,Dry-bulb uncert (code)_sd,Dew-point (C)_sd,Dew-point uncert (code)_sd,RHum (%)_sd,RHum uncert (code)_sd,Pressure (mbar)_sd,Pressure uncert (code)_sd,Wdir (degrees)_sd,Wdir uncert (code)_sd,Wspd (m/s)_sd,Wspd uncert (code)_sd,Hvis (m)_sd,Hvis uncert (code)_sd,CeilHgt (m)_sd,CeilHgt uncert (code)_sd,Pwat (cm)_sd,AOD (unitless)_sd,AOD uncert (code)_sd,Alb (unitless)_sd,Alb uncert (code)_sd,Lprecip depth (mm)_sd,ETR (W/m^2)_mean,ETRN (W/m^2)_mean,GHI (W/m^2)_mean,GHI source_mean,GHI uncert (%)_mean,DNI (W/m^2)_mean,DNI source_mean,DNI uncert (%)_mean,DHI (W/m^2)_mean,DHI source_mean,DHI uncert (%)_mean,GH illum (lx)_mean,GH illum source_mean,Global illum uncert (%)_mean,DN illum (lx)_mean,DN illum source_mean,DN illum uncert (%)_mean,DH illum (lx)_mean,DH illum source_mean,DH illum uncert (%)_mean,Zenith lum (cd/m^2)_mean,Zenith lum source_mean,Zenith lum uncert (%)_mean,TotCld (tenths)_mean,TotCld uncert (code)_mean,OpqCld (tenths)_mean,OpqCld uncert (code)_mean,Dry-bulb (C)_mean,Dry-bulb uncert (code)_mean,Dew-point (C)_mean,Dew-point uncert (code)_mean,RHum (%)_mean,RHum uncert (code)_mean,Pressure (mbar)_mean,Pressure uncert (code)_mean,Wdir (degrees)_mean,Wdir uncert (code)_mean,Wspd (m/s)_mean,Wspd uncert (code)_mean,Hvis (m)_mean,Hvis uncert (code)_mean,CeilHgt (m)_mean,CeilHgt uncert (code)_mean,Pwat (cm)_mean,AOD (unitless)_mean,AOD uncert (code)_mean,Alb (unitless)_mean,Alb uncert (code)_mean,Lprecip depth (mm)_mean,k16$cluster,k17$cluster,k18$cluster,k19$cluster,k20$cluster,k21$cluster
ABERDEEN REGIONAL ARPT,SD,-0.5943766349942774,0.4532489554017068,-0.27029819361511215,0.8140565297482436,-0.955274843058784,0.21228772315361236,0.8140565297482436,-0.26368442021522426,-0.8398352052808458,0.8140565297482436,-1.056404526960231,-0.2916234690608853,0.8140565297482436,-0.9543956654960459,0.1663928257683532,0.8140565297482436,-0.2632104207030559,-0.8257332947097521,0.8140565297482436,-1.0556123263770343,-0.8450737248234322,0.8140565297482436,-0.7170998590361041,0.8361697595582502,1.383434609776209,0.7597505487595836,1.183409116260086,1.4774073714857678,-1.5183942196885543,1.2271688781980061,-1.0899756177779942,-0.7221852036641926,-0.41606022652646873,0.8296403840718706,-0.638738632115447,0.028935583748060562,-1.2521159360422995,0.6609716962102887,-1.1007584399164894,-0.4610042918091758,-1.0808280627308682,0.33657843396500575,-1.0925204098239656,0.24156173117616914,-0.02444374057518292,-0.4662455832940511,0.8600900476849741,-0.5201445485261795,0.4872707931431006,-0.5931098937620072,0.13833054527093797,-0.29648329142340285,0.26121520858320646,-0.7332886300784096,0.17896324343269412,0.26121520858320646,-0.1302430269668725,-0.7626349547102296,0.26121520858320646,-0.8393099682596421,-0.31361908809520267,0.26121520858320646,-0.730294098118776,0.13248323700537978,0.26121520858320646,-0.12852106204611805,-0.739729877310225,0.26121520858320646,-0.8372276660611601,-0.8966506412348997,0.26121520858320646,-0.5546968776072677,-0.2220669700166674,-0.07849625851837352,-0.3017888049105168,-0.7846938018188402,-0.8107117041292129,-0.9601571059070955,-0.5277216847272906,-0.8898824100811753,0.49349415398661906,-0.3650203808537904,-0.0786850677346741,-0.9093923689732134,0.7397906251453045,-0.9710480103660085,1.0473608828508785,-0.8980643031400117,-0.3968811783730029,-0.9621866876686929,0.4399744468907048,-0.8943678084725573,-0.31959058234904747,0.10917038841154311,0.45588380118281696,0.7669722087489899,0.5354132968492646,-0.3639435446812006,12,2,15,5,20,2
ABILENE DYESS AFB,TX,0.8959340425208854,-0.5038486798007735,1.3806557392020589,0.6685319024978995,-0.7645476864152961,1.3879007157051984,0.6685319024978995,-0.46714441783358146,-0.733951655599136,0.6685319024978995,-0.860826701339729,1.3785400714263925,0.6685319024978995,-0.7635543127020386,1.4344076193097097,0.6685319024978995,-0.46615560567111025,-0.6869073837533044,0.6685319024978995,-0.8597458611597316,0.17522921241324096,0.6685319024978995,-0.698751606725097,-1.181923461279965,-0.18747705410624826,-1.9435998795455904,-2.4700331321231555,0.5926399589619749,0.4165676185192781,0.4849320203273209,0.3605317728147285,0.8460731157762174,-0.41606022652646873,0.3089965660884541,0.34037364018270594,-1.8968565266831316,0.41663264750570206,0.528650856270326,0.4420802999913584,-0.28963440073076113,-0.04873702650976266,-1.3947747931480659,0.342113251069257,0.02677581070219043,0.4764212870344073,-0.4662455832940511,-0.4965811522208058,-0.5201445485261795,-0.9307709596073469,0.8970418419820779,-0.4596132867470481,1.599968760891161,-0.5632693621629281,-0.5515238351749449,1.7954136109759333,-0.5632693621629281,-0.290122155962198,-0.6076331768207449,-0.5632693621629281,-0.6552709876522711,1.5812206045748654,-0.5632693621629281,-0.5488063903241241,1.8047823130110612,-0.5632693621629281,-0.28853931004320166,-0.4104599421483196,-0.5632693621629281,-0.6535172293529867,-0.2992062379112648,-0.5632693621629281,-0.5396602634317635,-1.356755011313775,-1.6416283762453872,-1.6560492196591317,1.3349984742480008,1.2014668148279295,-0.27739023568701604,0.22642416020310285,-0.3192917839760642,-1.9519685700513285,-0.3650203808537904,-0.36016638475332385,-0.7404149804115031,0.5810481229661367,-0.26897541470738195,1.0611386189560028,-0.2482158913939351,-0.1755356046330112,-0.47211255055380685,1.4874973657206747,-0.3479985310246675,0.2803006718874579,-0.048114848248351647,0.45588380118281696,0.4116730973695055,0.5354132968492646,-0.7718489172290965,2,6,3,14,16,10
ABILENE REGIONAL AP [UT],TX,0.8892791208320485,-0.508045652987228,1.1163197428948128,-0.5638162763905473,-0.5855729850086826,1.2087366414548413,-0.5638162763905473,-1.3010629191734044,0.23551404663680944,-0.5638162763905473,-0.3861473009274881,1.1118938005375434,-0.5638162763905473,-0.5851545335772033,1.2370704266145998,-0.5638162763905473,-1.3003377702022605,0.2746746485795569,-0.5638162763905473,-0.3861974810886477,0.5625113530670426,-0.5638162763905473,-0.8590672802859981,0.4153747354924297,0.24963658724835336,0.010846702127862392,-0.7906290284594153,0.3016923939817089,-0.5191006660861943,0.11128185975034124,-0.5710794554370753,0.20830339242228232,1.940826945399139,0.31775501820625884,-0.11311534208186706,-1.6298714829310998,-0.6787013955994609,0.26495802416431924,-0.5309234696953015,0.09069587722423414,-0.003680385236732,-0.42206376992538625,-0.5524817679082593,-0.41254559120467715,-1.410218025951572,2.1762947754138864,-0.6617966916517042,1.8819513464627384,0.11941978929999889,0.8903912372357687,-0.47969855391427524,1.2862136088960692,-1.378693662900864,-0.4159805048789842,1.1865719149325926,-1.378693662900864,-1.3282284212605577,0.14487504882886273,-1.378693662900864,-0.13460469746297943,1.273364265600844,-1.378693662900864,-0.41272774884535096,1.200909251521892,-1.378693662900864,-1.3241188777330506,0.2961792212115925,-1.378693662900864,-0.13144036961197822,0.3185308871326599,-1.378693662900864,-0.7551550534120394,-0.9545335041375613,-1.3747790002870626,-1.2864421137677193,-1.8136667294550464,0.8490349047224458,-0.577083988629239,0.4183187821432105,-0.6089587107529427,-0.9387958780480212,1.1867402160799962,-0.33415752380087455,-0.7936702050859773,0.2806699047709037,-0.6626182495734081,1.4427002228855181,-0.5853400048717194,1.054972500842459,-0.43975552361912246,1.0563311050196955,-0.6179734285625618,0.01883588247510757,-1.5610317320554223,-2.126434363094514,-1.537574408419194,-1.8503856222105641,-0.3551661427614611,5,13,17,16,15,20
ABINGTON,VA,0.4448348462051855,-0.6615074360195053,-6.936840860139288e-4,0.8168871796313579,1.8607395561460627,-0.41407903672462854,0.8168871796313579,1.6167771094241008,0.9718021814206285,0.8168871796313579,1.8312281668044212,0.018392728481038057,0.8168871796313579,1.8610242696638764,-0.36797839553593387,0.8168871796313579,1.6167080487129801,0.975087125533276,0.8168871796313579,1.8322184517678355,0.711894830529275,0.8168871796313579,1.8329937246680246,0.6245569319670404,-0.37257797198140186,0.8586859810930031,0.7964846624399828,0.1148509766465821,1.519455644605389,0.2411301423405368,1.4585604541986468,0.04764360538757847,-0.41606022652646873,-1.5265227971546336,-1.0577835339272714,0.8619230898065844,1.6041940974523088,-0.7969492948792407,1.5680272261362056,-0.43997846357137266,1.165307502585769,0.14172352665081459,1.3191337770576803,0.026907780176769203,1.5983037889894438,-0.4662455832940511,-0.40088930253923527,-0.5201445485261795,-1.3107840615836375,0.4492528844642283,-0.3321532669941619,-0.08689824426444695,-0.26428045189235194,1.6672550880579478,-0.4861630795063362,-0.26428045189235194,1.4648848373997836,0.8430999514201291,-0.26428045189235194,1.591268621086439,-0.05651385986555955,-0.26428045189235194,1.668760466554483,-0.44399924440262245,-0.26428045189235194,1.4635769509782117,0.8133022511626502,-0.26428045189235194,1.5934104473697304,0.783791323006438,-0.26428045189235194,1.6565858022502191,-0.06324609092848307,0.8128356776723208,0.12475777405065314,0.058034221401585054,0.017364729567852014,2.432439105221018,0.038814786715381334,2.2998750473791825,-0.11874107747167127,-0.3650203808537904,-0.5963928357845836,1.5871262039423422,-1.151380364758478,2.553863541549415,-1.3277792322897355,2.5691494381284747,-0.42720900002244844,2.3308149076631297,-0.7595937188995442,2.47086750614774,0.08560430349459917,1.1948069559343597,0.45588380118281696,0.2579179263631791,0.5354132968492646,-1.1838991740168696,14,16,7,3,3,8
ADIRONDACK RGNL,NY,-0.46184496930021673,-1.2402338130834933,-0.7120509971513244,0.6808915579893181,0.9763786262271846,-0.33308535238292936,0.6808915579893181,0.9509135262808313,-0.25920897081055777,0.6808915579893181,0.9243757249124518,-0.7294001517376825,0.6808915579893181,0.9767880992116987,-0.4018808922533799,0.6808915579893181,0.950804846436545,-0.27427903619450333,0.6808915579893181,0.9251729333536638,-0.4692468237082955,0.6808915579893181,0.9643507945483003,-0.284446217074521,-0.33465646600309507,0.12816596776933292,-0.03970922829134162,0.7336220541160916,1.375704460334552,0.6938185612062338,1.3154944475568358,0.005522946795354813,-0.41606022652646873,0.18693880855065975,1.8199258052933789,1.2271508249879957,1.3826632327582475,-0.2756917406835301,1.4199799021321284,0.21070332347534404,1.1898646404853437,0.0018463475648771632,1.2441140882936876,-0.24304614340646938,-0.22029408075158458,-0.4662455832940511,2.124124008765973,-0.5201445485261795,1.1793198459192782,-0.4591644376807256,0.041106995280497424,-0.8060846926258572,0.5330233088291846,0.5191991171958881,-0.5902149251568647,0.5330233088291846,0.8119809884106699,-0.37580968038622814,0.5330233088291846,0.4288485238950468,-0.8000066690862535,0.5330233088291846,0.5215006536795876,-0.6235594418245176,0.5330233088291846,0.8121224747970277,-0.3964060946578598,0.5330233088291846,0.43113207123350933,-0.37455652073091245,0.5330233088291846,0.6776752075431632,1.364369486194631,0.8137526858371241,1.573517735332585,0.6805266395083189,-1.155654882707401,1.5502696985944995,-0.7590189828919063,1.447220300974272,0.8385293815549768,-0.3650203808537904,-0.3420308894969888,0.29647863730447643,-0.19219849819097928,1.8160430221331552,-1.048684775614777,1.614303336263779,-0.19480562879761576,1.5400900619468074,-1.5590912559336876,1.2615083548254185,-0.545787058863976,-0.03861857694885965,0.45588380118281696,0.7767674223459181,0.5354132968492646,0.10540364130487227,10,3,2,4,19,9
AINSWORTH MUNICIPAL,NE,-0.2427888152423194,0.5457356183341814,0.4590131886017467,-2.353391253131626,-1.1340170110982752,1.0325890201341108,-2.353391253131626,-0.21659492011582482,-1.0928397409118376,-2.353391253131626,-1.2396925557185186,0.39067778735157105,-2.353391253131626,-1.1328908404205413,0.9703172203388969,-2.353391253131626,-0.21577563915420123,-1.0798606816326863,-2.353391253131626,-1.2385208915623442,-0.9656269427733097,-2.353391253131626,-0.7463010402515708,0.6832444254659006,-1.7844375943968758,0.24483098918527685,-0.4075928588069284,0.44902476097337946,-0.04801948250665223,0.17347100083410852,-0.10237937708981357,0.5643726695172155,-0.41606022652646873,-1.5231523428918154,-0.9937910974442438,-0.7593109029088595,-0.15385769821916598,1.1421156638380763,-0.041208683422481074,-0.49546414909282327,-0.21289180923091144,-0.7719467064001789,-0.14512282350769543,-0.25964806352673114,-0.08032976202061881,-0.4662455832940511,0.3020200279790498,-0.5201445485261795,0.3974615255899412,-0.24007823232885062,-0.11175817321360638,0.3395304799053769,1.6474365198376966,-0.9351174047954214,0.8280011287723378,1.6474365198376966,-0.1182577457267702,-0.913171816083099,1.6474365198376966,-1.0436639630796012,0.28938641576350377,1.6474365198376966,-0.9322332174602739,0.789817991084825,1.6474365198376966,-0.11691375475420449,-0.8574776962011315,1.6474365198376966,-1.0420640502848044,-1.00897967986543,1.6474365198376966,-0.614783307905389,-0.8579412645929192,1.1834903778865993,-0.8600953224313553,0.9717605721152853,-0.3518424798614104,-0.5047169931681251,-0.43099006331333994,-0.5393930314876301,-0.3291782623737572,-0.3650203808537904,-0.9126035943689335,1.5868383378630204,1.48696420426308,-0.5853029726092283,1.303158440293535,-0.501973969572631,-0.3330490134580997,-0.5806434117305562,1.2719785795583398,-0.5790998964203812,-0.5294292298391746,0.06568473076687391,0.45588380118281696,0.751537326717467,0.5354132968492646,-0.16645200148706077,7,9,4,19,8,3
AITKIN NDB(AWOS),MN,-0.7353832051454472,-0.18515584852402947,-1.0194857338909087,0.6557103524048917,1.0391183433535764,-0.5573642267869998,0.6557103524048917,0.9993966409085093,-0.4300093914748713,0.6557103524048917,0.9887110700807407,-1.042503246729727,0.6557103524048917,1.0392886132266397,-0.6356694129729253,0.6557103524048917,0.9987056998085879,-0.4267719844535985,0.6557103524048917,0.9890800891731136,-0.654146981296233,0.6557103524048917,1.0185015702747038,0.4795188397825305,-0.436988243714392,0.7060169828621505,0.4606139213783198,1.152901704633944,1.01715667144516,1.4026001427720032,0.9605292407213744,-0.6489650426960317,-0.41606022652646873,-1.5265227971546336,-1.0577835339272714,0.8428212605638635,1.0284647159458904,-0.7340894328449611,1.0410322893605928,-0.40190432795434106,0.7535146579550493,0.3553971489616461,1.207255384086299,-0.12711189244024632,-0.032724096086972965,-0.4662455832940511,2.0061386805627386,-0.5201445485261795,-0.30775015941488787,-0.7398036973276548,0.10662839385025887,-1.063313702972229,0.5692643888619815,0.5812240621997415,-0.7795380991481828,0.5692643888619815,0.8774251467292654,-0.5240826404267294,0.5692643888619815,0.4916495061028498,-1.0618479929945353,0.5692643888619815,0.5837957522895937,-0.8178687897503931,0.5692643888619815,0.87801765510404,-0.5722197267635152,0.5692643888619815,0.49456009417782254,-0.5561339618516055,0.5692643888619815,0.7440644102501782,0.6323952672599991,0.9061871088494944,0.8280102133683669,0.5095674939862782,-1.2233624393886886,0.47617043444067636,-0.7767542389812059,0.4276839523973832,0.8891485726296293,-0.3650203808537904,-0.03837759712806659,1.5871262039423422,-0.6766443520865966,0.41771726026482175,-1.029896953653243,0.47930526543568297,-0.48471068950670515,0.35231753155281287,-0.9607671290862113,0.8481650176438869,-0.62351279423022965,0.14606573755875024,0.45588380118281696,0.7853753373250368,0.5354132968492646,-0.3512650752415768,10,3,2,4,19,9
AKRON AKRON-CANTON REG AP,OH,-0.04332790377574725,1.1491154912708248,-0.6051912092215694,-0.5638162763906457,-0.48330201775420023,-1.1264234230600207,-0.5638162763906457,-1.4067744747730693,1.3765890012452262,-0.5638162763906457,-0.2650184544384252,-0.5723583276624709,-0.5638162763906457,-0.4841154361568483,-1.0726915786241569,-0.5638162763906457,-1.4081448738653308,1.3836949203414408,-0.5638162763906457,-0.26751286203669344,0.45434117211587194,-0.5638162763906457,-0.7954558640577428,-0.47690732760602367,0.016610878145736484,0.2698307140456362,-0.3512641266198599,0.35321287041893884,-0.16974297159593074,0.5709424526674794,-0.22361149969003513,-1.0091574887086348,2.7101908611075984,0.3469774678677909,0.19213806514021325,-1.305427698423703,-0.2948545386170829,-0.6344388958404025,-0.17342887357679856,-0.28739602211553306,0.6671330714104452,0.4737841981105116,-0.21810153797243945,0.00728138481450669,-1.410218025951572,2.2755301960828676,-0.6617966916517042,1.0277752097966553,-0.1333279921330098,-0.03801692470163565,-0.20165331491325802,-0.5417303026374124,-1.378693662900864,-0.3319099524256781,-1.1533292161466018,-1.378693662900864,-1.4811877463700884,1.361948405110077,-1.378693662900864,0.015927049825851507,-0.505788531557198,-1.378693662900864,-0.3273072042489597,-1.1063474856575288,-1.378693662900864,-1.4743364032307367,1.2557407932414868,-1.378693662900864,0.021961106765209924,0.9151246565813663,-1.378693662900864,-0.7221705444721613,1.2576355538129866,-1.3281949855149564,1.1871284689574553,-1.5409366102457631,-0.3838404895074359,-0.1881113880257486,-0.15935045992992908,-0.23338007078502043,0.3775062838122547,2.7639395113241862,0.013302512817371643,-0.651320428861504,1.1940261627134616,-0.254426841085091,0.6938557597172542,-0.18314971750196335,-0.48796529353502205,0.2276081569087213,-1.2524483883781163,-0.26525853600644883,-0.29342152890915807,-1.5610317320554223,-2.6764988333583437,-1.537574408419194,-2.3728233417127162,0.45820643513440346,16,14,5,16,17,1
AKRON WASHINGTON CO AP,CO,0.05535889400016789,-0.4787556684129985,0.7717880263947192,0.8140565297481349,-0.1033421550192986,1.4415855122850818,0.8140565297481349,0.058738018878912474,-1.0892763378987438,0.8140565297481349,-0.18280505830543076,0.7216341327527751,0.8140565297481349,-0.10251243396570456,1.3889687267176962,0.8140565297481349,0.05938610111072423,-1.0533159367538556,0.8140565297481349,-0.18172102783616492,-0.7277910822238692,0.8140565297481349,-0.08615949955130936,0.6433866885159283,0.8832480429417892,0.14086005880554944,0.2366844472616563,0.506542515284732,-0.9543418348720246,-0.0790755692776194,-1.004086257945037,1.3221721367494044,-0.41606022652646873,0.3051502345807238,-0.46644060495679857,-0.8283793361175029,-1.0127670713740895,-0.1346371479268101,-0.9550543169183909,-0.04519134877747906,-0.822858856831952,-0.10724638538915768,-0.017936193240832468,-0.3654736517884743,-0.5146268688455358,-0.4662455832940511,0.7213318763192772,-0.5201445485261795,-0.6567536634945794,0.06540079213583203,-0.051556656217889484,0.6664318170767135,0.26121520858320646,-0.34741618867664126,1.2129187179480718,0.26121520858320646,0.0037207580640055095,-1.0138273847661199,0.26121520858320646,-0.4486096085019934,0.6315187292322826,0.26121520858320646,-0.34478746641854,1.166409703297396,0.26121520858320646,0.004895224881170819,-0.8668000817031366,0.26121520858320646,-0.4467739900091811,-0.8917600635433119,0.26121520858320646,-0.25786631035031427,-0.6330516875083483,0.43906314969770427,-0.7587031028422246,0.7294008422869761,-0.35233297439672073,-0.835088059403647,-0.7106907959331621,-0.8583307632012798,-0.8947147501416887,-0.3650203808537904,-2.1332173386712685,-0.8833404887946188,1.0933827505635938,-0.8717020362023544,1.18019350699167,-0.8431647189186614,0.14756474038816966,-0.8779235966929595,0.8311795075075181,-0.518828089704524,-0.788827584374719,-0.26870856023819417,0.45588380118281696,0.8494894626867481,0.5354132968492646,-0.568018139315145,2,6,3,14,6,10
ALAMOSA SAN LUIS VALLEY RGNL,CO,0.36027747842862984,0.5715782079633779,1.3052739485898477,-0.5638162763903062,-0.4344780153008881,2.304292518875189,-0.5638162763903062,-1.4862975562681522,-0.7565669366397251,-0.5638162763903062,-0.25829803540935264,1.310896776808138,-0.5638162763903062,-0.43508302215953876,2.239912123855006,-0.5638162763903062,-1.4870678851404886,-0.8238729947208783,-0.5638162763903062,-0.260324560315253,-0.6161432581230444,-0.5638162763903062,-0.8061418031572711,-0.7527505947156098,4.3139677268587623e-4,-1.869371750172167,-0.4026534957947543,0.8525891980464122,-0.3232316978657328,-0.1480759476298025,0.7795985617550758,2.014056100843931,2.972753411501217,0.13325490570046689,0.06441044597879149,-0.1326246891879135,0.8211260827719431,0.34696728171113345,0.8569018842721827,0.47705205162613373,1.2083485183372091,-1.4186105895434071,0.7455973125889267,-1.371154707629349,-1.410218025951572,-0.4662455832940511,-0.6617966916517042,1.027775209796949,-1.0938717723830986,0.36682441116352255,-0.304631022524541,1.5901713638833124,-1.378693662900864,-0.2959929515248844,2.4435146051388466,-1.378693662900864,-1.6169606304560764,-1.2652713594144955,-1.378693662900864,-0.0054413354940559345,1.5563459823994554,-1.378693662900864,-0.2916534117217705,2.355122690148191,-1.378693662900864,-1.6103722381071734,-0.9107300666503994,-1.378693662900864,8.245328125395111e-5,-1.0763181257617533,-1.378693662900864,-0.7670402813830961,-0.921942238807004,-0.8753763537341284,-1.5145995812963642,-1.1139410032536468,-1.1493769388715995,-0.38830052220893996,-1.6449984416244825,1.148430006424893,-1.1244194996275623,3.6336250098106446,-3.7145492898740833,-0.721559752215946,0.2337202717834647,1.2798241657686649,-0.26210129615856226,1.2942590934326388,3.0391439116051187,1.8643344360214475,1.509261302722116,1.0279105240627762,-1.4056670776008275,-1.5610317320554223,0.45588380118281696,-1.537574408419194,-2.3728233417127162,-1.0663795149803568,5,13,17,18,15,7
